-----------------------S1---------------------

Power Regression: 
389.74 x^ -0.42  (R^2 = 0.88)

-------------RESULTS----------------
Memory       Measured       Predicted
1536          142.68         158.41
1600          135.84         154.50
1664          148.12         150.83
1728          130.01         147.38
1792          130.92         144.13
1856          140.78         141.06
1920          133.11         138.16
1984          134.45         135.42
2048          126.73         132.81
2112          128.99         130.32
2176          123.17         127.96
2240          115.37         125.71
2304          115.51         123.56
2368          115.74         121.50
2432          127.72         119.53
2496          128.05         117.64
2560          128.91         115.83
2624          121.30         114.09
2688          127.68         112.42
2752          122.07         110.81
2816          148.27         109.26
2880          117.61         107.76
2944          121.30         106.32
3008          121.45         104.93

Session Time: 25 dk

-----------------------S24---------------------

Power Regression: 
321.76 x^ -0.15  (R^2 = 0.393)

-------------RESULTS----------------
Memory       Measured       Predicted

128           181.92         157.55
192           225.69         148.42
256           154.76         142.27
320           131.20         137.68
384           106.12         134.03
448           125.10         131.02
512           127.98         128.47
576           117.06         126.27
640           108.46         124.32
704           111.23         122.59
768           112.35         121.03
832           114.23         119.62
896           108.71         118.32
960           105.81         117.12
1024          124.01         116.02
1088          106.80         114.98
1152          110.01         114.02
1216          106.85         113.12
1280          104.82         112.27
1344          105.34         111.46
1408          104.36         110.70
1472          106.94         109.98
1536          105.21         109.30
1600          96.48          108.64
1664          112.12         108.02
1728          104.73         107.42
1792          100.52         106.84
1856          106.68         106.29
1920          105.97         105.76
1984          103.37         105.26
2048          106.57         104.76
2112          104.86         104.29
2176          98.51          103.83
2240          97.88          103.39
2304          101.56         102.96
2368          99.77          102.55
2432          97.32          102.15
2496          104.59         101.76
2560          102.09         101.38
2624          96.79          101.01
2688          109.21         100.65
2752          100.87         100.31
2816          102.92         99.97
2880          99.32          99.64
